MP name,Nature of membership,Start of term,End of term,State,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
M. Rajasekara Murthy,Elected,03-Apr-06,05-12-2010,Karnataka,Janata Dal (Secular),Male,Graduate,"B.A., B.Com., LL.B. Educated at Mysore University and Lucknow University ",90,0,0,0,0.70," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",13.6,0.4,112,77%,7.9,1,50,69%
M. Rama Jois,Elected,26-Jun-08,In office,Karnataka,Bharatiya Janata Party,Male,Graduate,"B.Sc., B.L. Educated at Central College and Government Law College, Bangalore, University of Mysore Conferred Honorary Doctor of Laws by Kuvempu University, Karnataka ",81,47,7,13,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,16.8,1.9,109,69%
M. Venkaiah Naidu,Elected,01-Jul-10,In office,Karnataka,Bharatiya Janata Party,Male,Graduate,"B.A., B.L. Educated at V.R. High School, Nellore, V.R. College, Nellore and Law College, Andhra University, Visakhapatnam ",63,48,0,24,0.73," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,16.8,1.9,109,69%
M.A.M. Ramaswamy,Elected,01-Jul-04,30-06-2010,Karnataka,Janata Dal (Secular),Male,Doctorate,"B.A., D. Litt. (Honoris Causa) Educated at Vivekananda College, Chennai; conferrred D. Litt. (Honoris Causa) degree by Annamalai University, Chidambaram for outstanding contribution in the field of sports in 1979, Alagappa University, Karaikudi in 1996, P",80,0,0,0,0.06," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,5.8,1,36,69%
M.P. Achuthan,Elected,22-Apr-09,In office,Kerala,Communist Party of India,Male,Graduate,"B.Com. Educated at Government College, Madappally ",63,43,0,497,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,37.7,0.7,324,70%
M.S. Gill,Elected,10-Apr-10,In office,Punjab,Indian National Congress,Male,Doctorate,"Senior Cambridge, B.A. (Honours), M.A., Ph.D., Diploma in Development Studies, University of Cambridge Doctor of Science (Honoris Causa) : Punjab Agriculture University, Panjab University, Haryana Agriculture University, Madras University and Guwahati Uni",76,8,0,0,1.00,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",11.6,0.3,85,77%,17.1,0,98,78%
M.S. Swaminathan,Nominated,10-Apr-07,In office,,Independent,Male,Doctorate,"B.Sc., Ph.D. Educated at Travancore University, Coimbatore Agricultural College, Madras University, School of Agriculture, University of Cambridge, U.K. Recepient of 58 Honorary Doctorate degrees from Universities around the world ",87,12,1,10,0.75," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,14.6,0.3,97,68%
M.V. Mysura Reddy,Elected,03-Apr-06,02-04-2012,Andhra Pradesh,Telugu Desam Party,Male,Graduate,"M.B.B.S. Educated at Government Medical College, Kurnool (Andhra Pradesh",63,68,1,494,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,19.6,0.8,254,78%
Mabel Rebello,Elected,03-Apr-06,02-04-2012,Jharkhand,Indian National Congress,Female,Post Graduate,"M.A., D.S.W. (Diploma in Social Work) Educated at St. Joseph's School, St. Agnes College, Roshini Nilaya, Bangalore and Bakratulla University, Bhopal ",62,26,3,249,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,23.7,0.5,248,75%
Mahendra Mohan,Elected,03-Apr-06,02-04-2012,Uttar Pradesh,Samajwadi Party,Male,Graduate,"B. Com. Educated at G.N.K. Inter College, B.N.S.D. Inter College and D.A.V. College, Kanpur (Uttar Pradesh)",71,44,10,370,0.76," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,19.5,1.2,117,76%
Mahendra Prasad,Elected,03-Apr-12,In office,Bihar,Janata Dal (United),Male,Doctorate,"Graduation with Honours in Economics, Educated at Middle School and High School, Okari and Patna College, Patna University ",72,0,0,0,0.81," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,35.6,0.1,258,76%
Mahendra Sahni,Elected,03-Apr-06,06-11-2009,Bihar,Janata Dal (United),Male,Inter/ Higher Secondary,"Intermediate Educated at Bihar Vidyalaya Pariksha Samiti, Patna and Bihar University, Muzaffarpur",72,2,0,0,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",4.3,0.1,25,77%,4.9,0,28,76%
Mahendra Singh Mahra,Elected,03-Apr-12,In office,Uttarakhand,Indian National Congress,Male,Information not available,,Information not available,3,0,34,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,15.4,1.1,79,92%
Mahmood A. Madani,Elected,03-Apr-06,02-04-2012,Uttar Pradesh,Rashtriya Lok Dal,Male,Graduate,"Fazil (Graduate) Educated at Darul Uloom, Deoband, Distt. Saharanpur (Uttar Pradesh) ",48,3,0,43,0.40," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,19.5,1.2,117,76%
Mangala Kisan,Elected,03-Apr-08,In office,Orissa,Biju Janata Dal,Male,Graduate,"B.A. Educated at Bargaon High School, Bargoan, Distt. Sundargarh, B.J.B. College, Bhubaneswar, Utkal University and Sambalpur University ",65,43,0,194,0.90," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,40.5,0.3,197,82%
Mani Shankar Aiyar,Nominated,22-Mar-10,In office,,Indian National Congress,Male,Post Graduate,"B.A.(Eco), M.A. (Eco) ; Educated at Doon School, Dehradun, St. Stephens' College, Delhi Univ., Trinity Hall, Cambridge University, U.K. D.Sc. (Honoris Causa) by ISM, Dhanbad, Hon. Fellow, Trinity Hall, Cambridge University, U.K., 2010",71,14,0,108,0.70," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",20.5,0.6,153,77%,11.5,0.2,64,68%
Manohar Joshi,Elected,03-Apr-06,02-04-2012,Maharashtra,Shiv Sena,Male,Post Graduate,"B.A., M.A., LL.B. Educated at University of Mumbai ",74,25,0,144,0.64," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,27.9,0.8,294,77%
Mansukh L. Mandaviya,Elected,03-Apr-12,In office,Gujarat,Bharatiya Janata Party,Male,Information not available,,Information not available,1,0,11,0.76," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,4.6,0.2,37,79%
Matilal Sarkar,Elected,03-Apr-04,02-04-2010,Tripura,Communist Party of India (Marxist),Male,Post Graduate,"B.Sc., M.Sc., B.T., Special Training in Biology Educated at Bardowali High School, Agartala, M.B.B. College, Agartala, University of Saugar, Madhya Pradesh, B.T. (S.T.T.) College, Calcutta University, Agartala and Presidency College, Kolkata ",71,17,3,37,0.81," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",8.3,0.2,62,77%,17,3,37,84%
Maya Singh,Elected,10-Apr-08,In office,Madhya Pradesh,Bharatiya Janata Party,Female,Post Graduate,"B.A., M.A. (Political Science) Educated at Jiwaji University, Gwalior (Madhya Pradesh) ",62,76,0,423,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,28,0.8,231,83%
Mayawati,Elected,03-Apr-12,In office,Uttar Pradesh,Bahujan Samaj Party,Female,Information not available,,56,6,0,0,0.68," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,3.3,0.1,17,76%
Md. Nadimul Haque,Elected,03-Apr-12,In office,West Bengal,All India Trinamool Congress,Male,Information not available,,Information not available,1,0,0,0.71," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,7.4,0,13,77%
Meghraj Jain,Elected,06-May-11,02-04-2012,Madhya Pradesh,Bharatiya Janata Party,Male,Others,,62,1,0,46,0.71," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",6.5,0.1,52,77%,8.2,0.3,64,83%
Mohammad Shafi,Elected,16-Feb-09,In office,Jammu and Kashmir,Jammu and Kashmir National Conference,Male,Graduate,"B.A., LL. B. Educated at University of Kashmir, Srinagar ",68,11,0,0,0.81," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,12.8,0,70,88%
Mohammed Adeeb,Elected,26-Nov-08,In office,Uttar Pradesh,Independent,Male,Post Graduate,"M.Sc. Educated at Aligarh Muslim University, Aligarh (Uttar Pradesh) ",67,44,0,459,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,22.8,1.3,134,76%
Mohammed Amin,Elected,17-May-07,18-08-2011,West Bengal,Communist Party of India (Marxist),Male,Others,No formal education,84,15,0,55,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.5,0.6,141,77%,29.6,0.4,103,77%
Mohan Singh,Elected,05-Jul-10,In office,Uttar Pradesh,Samajwadi Party,Male,Graduate,"M.A. ; Educated at Shri Krishna Inter College, Barahaj, Deoria and Allahabad University, Allahabad, Uttar Pradesh",67,16,7,209,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,14.7,1,78,76%
Mohd. Ali Khan,Elected,10-Apr-08,In office,Andhra Pradesh,Indian National Congress,Male,Under Matric,,64,24,0,645,0.98," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,23.4,0.8,297,78%
Mohsina Kidwai,Elected,30-Jun-10,In office,Chhattisgarh,Indian National Congress,Female,Inter/ Higher Secondary,"Intermediate Educated at Women's College, Aligarh Muslim University, Aligarh ",80,6,0,199,0.92," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,25.5,0.6,371,86%
Moinul Hassan,Elected,03-Apr-06,02-04-2012,West Bengal,Communist Party of India (Marxist),Male,Graduate,"B. Sc. Educated at University of Calcutta, (West Bengal) ",54,73,0,334,0.80," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,36.9,0.4,125,77%
Motilal Vora,Elected,10-Apr-08,In office,Chhattisgarh,Indian National Congress,Male,Inter/ Higher Secondary,"High School Educated at Raipur, Chhattisgarh ",83,20,0,535,0.98," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,25.5,0.6,371,86%
Mrinal Miri,Nominated,29-Jun-12,In office,,Independent,Male,Doctorate,BA in Philosophy from the University of Cambridge in 1966 and doctorate in 1970.,72,0,0,0,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",1.2,0,16,77%,0.4,0.1,3,68%
Mukhtar Abbas Naqvi,Elected,05-Jul-10,In office,Uttar Pradesh,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B. Educated at Allahabad University, Allahabad",54,14,0,3,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,14.7,1,78,76%
Mukut Mithi,Elected,27-May-08,In office,Arunachal Pradesh,Indian National Congress,Male,Graduate,"B.Sc. Educated at J.N. College, Pasighat ",60,4,0,2,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,4,0,2,88%
Munabbar Saleem,Elected,03-Apr-12,In office,Uttar Pradesh,Samajwadi Party,Male,Information not available,,Information not available,4,0,6,1.00," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,3.3,0.1,17,76%
Munquad Ali,Elected,03-Apr-12,In office,Uttar Pradesh,Bahujan Samaj Party,Male,Graduate,"B.A. Educated at Meerut University, Meerut ",50,0,0,0,0.43," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,22.8,1.3,134,76%
Murli Deora,Elected,03-Apr-08,In office,Maharashtra,Indian National Congress,Male,Graduate,B.A.,75,0,0,0,0.74,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",11.6,0.3,85,77%,13.6,0.6,140,77%
N. Balaganga,Elected,03-Apr-08,In office,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.A. Educated at Madras University, Chennai",62,32,0,371,0.72," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,38.6,0.5,243,70%
N. Janardhana Reddy,Elected,01-Apr-09,In office,Andhra Pradesh,Indian National Congress,Male,Professional Graduate,"B.A., B.Ed., Trained in Basic Education (a Gandhian Concept) ; Educated at V.R. College, Government College of Education, Nellore and Government College of Basic Education, Pentapadu, West Godavari District (Andhra Pradesh)",77,5,0,7,0.70," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,23.4,0.8,297,78%
N. K. Singh,Elected,10-Apr-08,In office,Bihar,Janata Dal (United),Male,Post Graduate,"M.A. (Economics) Educated at St. Stephen's College, University of Delhi and Delhi School of Economics, Delhi ",71,84,1,790,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,35.6,0.1,258,76%
N.R. Govindarajar,Elected,30-Jun-04,29-06-2010,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A. Educated at Annamalai University, Annamalai Nagar (Tamil Nadu) ",58,14,0,162,0.65," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,17.2,0.2,81,70%
Najma A. Heptulla,Elected,03-Apr-12,In office,Madhya Pradesh,Bharatiya Janata Party,Female,Doctorate,"M.Sc.(Zoology), Ph.D. (Cardiac Anatomy) Educated at Motilal Nehru Vigyan Mahavidyalaya",72,45,0,98,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",15.1,0.5,110,77%,20.9,0.7,189,83%
Nand Kishore Yadav,Elected,05-Jul-04,04-07-2010,Uttar Pradesh,Samajwadi Party,Male,Post Graduate,"M.A. (Political Science), LL.B. Educated at Gorakhpur University, Gorakhpur and Shibli National College, Azamgarh (Uttar Pradesh) ",53,13,0,204,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,8,0.4,56,76%
Nand Kumar Sai,Elected,04-Aug-09,In office,Chhattisgarh,Bharatiya Janata Party,Male,Post Graduate,"M.A.(Political Science) ; Educated at N.E.S. College (formerly Ravishankar University), Jashpur Nagar, Distt. Raigarh (Madhya Pradesh)",66,20,0,507,0.78," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",25.1,0.7,192,77%,21.4,0.6,336,86%
Nandamuri Harikrishna,Elected,10-Apr-08,In office,Andhra Pradesh,Telugu Desam Party,Male,Inter/ Higher Secondary,"S.Sc. Educated at Senior Secondary School, Chennai ",56,1,0,126,0.70," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,23.4,0.8,297,78%
Nandi Yellaiah,Elected,10-Apr-08,In office,Andhra Pradesh,Indian National Congress,Male,Matric,,70,14,0,284,0.78," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,23.4,0.8,297,78%
Narayan Singh Kesari,Elected,03-Apr-06,02-04-2012,Madhya Pradesh,Bharatiya Janata Party,Male,Graduate,Hindi Visharad Educated at Indore ,87,1,0,7,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,21.6,0.5,186,83%
Narayan Singh Manaklao,Nominated,27-Aug-03,26-08-2009,,Bharatiya Janata Party,Male,Doctorate,"M.A. (Hindi Literature), Ph.D. (Hindi Literature) Educated at Jai Narayan Vyas University, Jodhpur",69,1,0,0,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",4.3,0.1,25,77%,2.3,0.1,21,68%
Narendra Budania,Elected,03-Apr-12,In office,Rajasthan,Indian National Congress,Male,Professional Graduate,"B.Sc., LL.B. ; Educated at Lohia P.G. College, Churu and University of Rajasthan, Jaipur (Rajasthan)",56,12,0,23,0.97," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",25.1,0.7,192,77%,24.3,0,267,81%
Narendra Kumar Kashyap,Elected,05-Jul-10,In office,Uttar Pradesh,Bahujan Samaj Party,Male,Professional Graduate,"B.A., LL.B. ; Educated at K.V. Degree College, Meerut University, Uttar Pradesh and M.M.H. College, Ghaziabad, Uttar Pradesh",49,55,5,133,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,14.7,1,78,76%
Naresh Chandra Agrawal,Elected,03-Apr-12,In office,Uttar Pradesh,Bahujan Samaj Party,Male,Professional Graduate,"B.Sc., LL.B. ; Educated at Lucknow University, Lucknow",60,33,0,132,0.70," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",20.5,0.6,153,77%,16,1.1,90,76%
Naresh Gujral,Elected,22-Mar-07,In office,Punjab,Shiromani Akali Dal,Male,Graduate,"B.A., F.C.A. Educated at St. Stephen's College, University of Delhi and Institute of Chartered Accountants of India, Delhi ",64,34,0,125,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,33.8,0.2,265,78%
Natuji Halaji Thakor,Elected,10-Apr-08,In office,Gujarat,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"SSC Educated at Mudarada, Distt. Mehsana (Gujarat) ",52,19,0,375,0.75," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,20.3,0.2,189,79%
Naznin Faruque,Elected,03-Apr-10,In office,Assam,Indian National Congress,Female,Graduate,"B.A.(Hons.) ; Educated at Lady Kene College, North Eastern Hill University, Shillong, Meghalaya",58,1,0,171,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",20.5,0.6,153,77%,28.1,0.2,149,84%
O.T. Lepcha,Elected,24-Feb-06,23-02-2012,Sikkim,Sikkim Democratic Front,Male,Under Graduate,,43,16,2,155,0.77," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",22,0.6,170,77%,16,2,155,63%
Om Prakash Mathur,Elected,10-Apr-08,In office,Rajasthan,Bharatiya Janata Party,Male,Graduate,"B.A. Educated at Rajasthan University, Jaipur ",60,10,0,218,0.81," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,30.5,0.4,314,81%
Oscar Fernandes,Elected,01-Jul-10,In office,Karnataka,Indian National Congress,Male,Graduate,"Intermediate, B.A.II Educated at Cecilia's Convent, Board High School and M.G.M.College, Udupi ",71,0,0,0,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,16.8,1.9,109,69%
P. Kannan,Elected,07-Oct-09,In office,Puducherry,Indian National Congress,Male,Inter/ Higher Secondary,"P.U.C. (Intermediate) ; Educated at Tagore Arts College, Puducherry",63,7,0,1,0.51," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",24.5,0.7,189,77%,7.9,0,1,51%
P. Rajeeve,Elected,22-Apr-09,In office,Kerala,Communist Party of India (Marxist),Male,Graduate,"B.A., LL.B., Diploma in Chemical Engineering Educated at St. Pauls College, Kalamassery, Govt. Law College, Ernakulum and Govt. Polytechnic, Kalamassery ",45,84,3,536,0.81," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,37.7,0.7,324,70%
P.J. Kurien,Elected,02-Jul-12,In office,Kerala,Indian National Congress,Male,Post Graduate,"M. Sc. Educated at St. Thomas College, Kozencherry (Kerala) and Government Science College, Rewa (Madhya Pradesh) ",71,34,2,150,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,37.7,0.7,324,70%
P.R. Rajan,Elected,02-Jul-06,01-07-2012,Kerala,Communist Party of India (Marxist),Male,Graduate,"B.Sc. Educated at Government Victoria College, Palakkad (Kerala) ",76,9,0,72,0.32," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",27.6,0.7,199,77%,35.1,0.7,304,70%
Palvai Govardhan Reddy,Elected,03-Apr-12,In office,Andhra Pradesh,Indian National Congress,Male,Information not available,,Information not available,2,0,45,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,3.8,0,43,78%
Pankaj Bora,Elected,16-Dec-11,In office,Assam,Indian National Congress,Male,Information not available,,52,3,0,58,1.00," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",8,0.2,48,77%,13.2,0,62,84%
Parimal Nathwani,Elected,10-Apr-08,In office,Jharkhand,Independent,Male,Post Graduate,"Professional doctorate in management Educated at National Institute of Management, Ahmedabad ",56,9,0,458,0.41," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,25.9,0.5,297,75%
Parshottam Khodabhai Rupala,Elected,10-Apr-08,In office,Gujarat,Bharatiya Janata Party,Male,Graduate,"B.Sc., B.Ed. Educated at Saurashtra University and Gujarat University ",57,22,2,367,0.77," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,20.3,0.2,189,79%
Parvez Hashmi,Elected,28-Jan-12,In office,Delhi,Indian National Congress,Male,Post Graduate,"M. Sc. (Chemistry) ; Educated at Aligarh Muslim University, Aligarh",57,3,0,162,0.90," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",25.1,0.7,192,77%,4.5,0,56,92%
Paul Manoj Pandian,Elected,30-Jun-10,In office,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Male,Professional Post Graduate,"B.L., M.L. ; Educated at Dr. Ambedkar Law College, Chennai and Madras University, Chennai",41,12,0,18,0.45," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,21.4,0.3,162,70%
Penumalli Madhu,Elected,22-Jun-04,21-06-2010,Andhra Pradesh,Communist Party of India (Marxist),Male,Under Graduate,,64,8,0,165,0.86," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,9.2,0.7,115,78%
Phaggan Singh Kulaste,Elected,03-Apr-12,In office,Madhya Pradesh,Bharatiya Janata Party,Male,Information not available,,Information not available,0,0,33,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,6.4,0.3,45,83%
Piyush Vedprakash Goyal,Elected,05-Jul-10,In office,Maharashtra,Bharatiya Janata Party,Male,Professional Graduate,"B.Com., LL.B., F.C.A. ; Educated at Don Bosco High School, Mumbai, Jai Hind College, Mumbai, H.R. College of Commerce and Economics, Mumbai, Government Law College, Mumbai and Institute of Chartered Accountants of India, New Delhi",48,15,0,150,0.74," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,21.5,0.6,218,77%
Prabha Thakur,Elected,10-Apr-08,In office,Rajasthan,Indian National Congress,Female,Doctorate,"B.A., M.A., Ph.D. Educated at Udaipur University, Udaipur (Rajasthan) ",62,44,0,255,0.81," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,30.5,0.4,314,81%
Prabhakar Kore,Elected,26-Jun-08,In office,Karnataka,Bharatiya Janata Party,Male,Doctorate,"B.Com. Educated at Gogte College of Commerce, Belgaum ",65,3,0,75,0.56," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,16.8,1.9,109,69%
